TypeDescription,Manufacturer,Age,AssetCondition,Operations,MonthsToFailure
Sphygmomanometers,Canon Inc (Toshiba Medical),20,0,1,31.8
Infusion Pump,Medtronic,30,0,2,6.0
Defibrillator,Drager Medical AG & Co KGaA,2,1,1,32.7
Defibrillator,Omron Healthcare Co Ltd,16,2,2,2.0
Sphygmomanometers,Koninklijke Philips N.V.,27,1,2,4.9
Sphygmomanometers,Medtronic,18,1,1,20.6
Infusion Pump,GE Healthcare,13,0,1,30.7
Infusion Pump,Koninklijke Philips N.V.,21,2,1,2.0
Sphygmomanometers,GE Healthcare,29,2,2,2.0
Ventilator,Nihon Kohden Corp,22,0,1,15.3
Defibrillator,Nihon Kohden Corp,7,1,1,18.1
Radiographic System,Canon Inc (Toshiba Medical),12,0,1,26.7
Infusion Pump,Medtronic,26,1,1,5.5
Infusion Pump,Medtronic,19,1,2,7.4
Sphygmomanometers,Baxter Healthcare Corp,2,0,2,46.8
Physiologic Monitoring System,Nihon Kohden Corp,4,0,1,50.5
Radiographic System,Omron Healthcare Co Ltd,8,0,2,28.4
Radiographic System,Omron Healthcare Co Ltd,28,1,1,2.0
Infusion Pump,Physio-Control Inc,5,1,1,31.5
Ventilator,Physio-Control Inc,30,0,1,6.2
Physiologic Monitoring System,Drager Medical AG & Co KGaA,24,1,2,2.0
Radiographic System,Nihon Kohden Corp,30,1,2,2.0
Infusion Pump,GE Healthcare,21,0,2,15.0
Radiographic System,GE Healthcare,1,0,1,42.4
Physiologic Monitoring System,B. Braun Melsungen AG,12,1,1,20.2
Physiologic Monitoring System,Koninklijke Philips N.V.,4,2,1,21.1
Defibrillator,Datex-Ohmeda Inc,27,0,2,8.7
Sphygmomanometers,Canon Inc (Toshiba Medical),26,0,2,15.8
Sphygmomanometers,Physio-Control Inc,24,0,2,18.2
Infusion Pump,Canon Inc (Toshiba Medical),7,1,1,29.5
Physiologic Monitoring System,Medtronic,22,0,1,23.6
Defibrillator,Drager Medical AG & Co KGaA,0,0,1,48.7
Defibrillator,Omron Healthcare Co Ltd,19,1,1,11.5
Radiographic System,Datex-Ohmeda Inc,11,1,1,20.8
Radiographic System,Siemens Healthineers,22,0,1,15.8
Defibrillator,Drager Medical AG & Co KGaA,10,0,1,29.8
Radiographic System,Siemens Healthineers,6,1,2,20.8
Physiologic Monitoring System,Welch Allyn Inc,14,0,2,32.2
Ventilator,Nihon Kohden Corp,21,0,1,23.9
Physiologic Monitoring System,Siemens Healthineers,23,2,1,2.0
Defibrillator,Siemens Healthineers,10,0,1,32.8
Defibrillator,Canon Inc (Toshiba Medical),28,1,2,2.0
Physiologic Monitoring System,Welch Allyn Inc,21,2,2,2.0
Radiographic System,Baxter Healthcare Corp,25,0,2,5.5
Radiographic System,Med-Vantage Sdn Bhd,15,0,2,19.2
Sphygmomanometers,Baxter Healthcare Corp,2,1,1,43.1
Defibrillator,Baxter Healthcare Corp,19,2,1,2.0
Infusion Pump,Nihon Kohden Corp,13,2,1,6.6
Sphygmomanometers,Datex-Ohmeda Inc,2,1,1,42.9
Radiographic System,Drager Medical AG & Co KGaA,0,0,2,42.6
Physiologic Monitoring System,Drager Medical AG & Co KGaA,30,1,1,2.0
Radiographic System,Blease Medical Equipment Ltd,25,0,1,15.6
Physiologic Monitoring System,Medtronic,20,1,1,15.9
Sphygmomanometers,Baxter Healthcare Corp,14,0,2,31.1
Defibrillator,Nihon Kohden Corp,0,0,1,40.9
Radiographic System,Medtronic,16,1,2,2.0
Physiologic Monitoring System,Med-Vantage Sdn Bhd,1,1,1,36.6
Defibrillator,Koninklijke Philips N.V.,28,0,1,12.5
Infusion Pump,Medtronic,19,0,1,28.2
Physiologic Monitoring System,Canon Inc (Toshiba Medical),5,2,2,14.3
Sphygmomanometers,Canon Inc (Toshiba Medical),7,1,1,32.8
Infusion Pump,Datex-Ohmeda Inc,28,0,2,9.5
Infusion Pump,Physio-Control Inc,15,0,1,31.0
Ventilator,Siemens Healthineers,18,0,1,22.0
Radiographic System,Baxter Healthcare Corp,0,2,2,13.9
Physiologic Monitoring System,Blease Medical Equipment Ltd,2,1,1,32.7
Infusion Pump,Welch Allyn Inc,27,1,2,2.0
Ventilator,Blease Medical Equipment Ltd,2,1,2,24.8
Sphygmomanometers,Physio-Control Inc,4,0,1,52.3
Defibrillator,Omron Healthcare Co Ltd,26,2,2,2.0
Physiologic Monitoring System,Medtronic,11,1,1,25.7
Infusion Pump,Nihon Kohden Corp,11,0,1,38.1
Radiographic System,Med-Vantage Sdn Bhd,19,0,1,18.9
Ventilator,Siemens Healthineers,12,1,2,7.5
Infusion Pump,Drager Medical AG & Co KGaA,19,2,1,3.8
Radiographic System,GE Healthcare,8,0,2,30.5
Infusion Pump,Siemens Healthineers,6,2,2,13.8
Physiologic Monitoring System,Med-Vantage Sdn Bhd,3,1,1,35.7
Physiologic Monitoring System,Datex-Ohmeda Inc,18,0,1,24.1
Physiologic Monitoring System,Omron Healthcare Co Ltd,21,0,1,26.6
Sphygmomanometers,Datex-Ohmeda Inc,18,0,1,35.3
Sphygmomanometers,Med-Vantage Sdn Bhd,5,1,1,33.2
Ventilator,Canon Inc (Toshiba Medical),26,0,2,9.6
Physiologic Monitoring System,Medtronic,12,0,2,34.2
Radiographic System,Koninklijke Philips N.V.,10,1,2,10.6
Infusion Pump,Canon Inc (Toshiba Medical),12,1,2,16.9
Defibrillator,Datex-Ohmeda Inc,12,0,2,22.9
Radiographic System,Datex-Ohmeda Inc,27,0,1,8.7
Sphygmomanometers,Nihon Kohden Corp,24,1,2,7.4
Sphygmomanometers,Medtronic,21,1,2,6.9
Radiographic System,Siemens Healthineers,27,2,1,2.0
Sphygmomanometers,Koninklijke Philips N.V.,19,0,2,26.9
Physiologic Monitoring System,Physio-Control Inc,14,2,1,10.4
Ventilator,GE Healthcare,20,1,2,2.6
Infusion Pump,Baxter Healthcare Corp,12,1,2,14.8
Ventilator,Drager Medical AG & Co KGaA,21,1,2,2.0
Infusion Pump,Datex-Ohmeda Inc,10,0,1,38.9
Infusion Pump,Medtronic,18,0,2,26.3
Ventilator,Baxter Healthcare Corp,7,1,1,23.4
Radiographic System,Canon Inc (Toshiba Medical),19,1,1,7.9
Infusion Pump,Drager Medical AG & Co KGaA,7,1,2,22.1
Ventilator,Med-Vantage Sdn Bhd,9,0,2,25.4
Infusion Pump,Blease Medical Equipment Ltd,25,2,2,2.0
Defibrillator,Drager Medical AG & Co KGaA,15,1,1,13.9
Radiographic System,Blease Medical Equipment Ltd,18,0,1,25.8
Physiologic Monitoring System,Physio-Control Inc,25,0,2,13.5
Infusion Pump,Physio-Control Inc,22,1,1,10.8
Defibrillator,Canon Inc (Toshiba Medical),10,1,1,22.9
Physiologic Monitoring System,Physio-Control Inc,12,1,2,16.2
Physiologic Monitoring System,Welch Allyn Inc,27,2,1,2.0
Infusion Pump,B. Braun Melsungen AG,8,0,2,37.2
Ventilator,B. Braun Melsungen AG,19,0,1,21.4
Infusion Pump,Drager Medical AG & Co KGaA,23,2,1,2.0
Defibrillator,Physio-Control Inc,18,2,1,2.0
Physiologic Monitoring System,Nihon Kohden Corp,15,1,1,18.6
Infusion Pump,Datex-Ohmeda Inc,6,2,1,16.9
Ventilator,Baxter Healthcare Corp,18,0,1,22.6
Infusion Pump,Baxter Healthcare Corp,11,2,1,15.5
Radiographic System,B. Braun Melsungen AG,14,0,1,25.3
Ventilator,Drager Medical AG & Co KGaA,30,0,1,8.9
Defibrillator,Canon Inc (Toshiba Medical),22,0,1,14.8
Physiologic Monitoring System,Medtronic,13,0,1,35.4
Infusion Pump,Siemens Healthineers,10,0,2,31.6
Ventilator,Siemens Healthineers,25,0,2,8.2
Radiographic System,B. Braun Melsungen AG,9,0,2,26.6
Ventilator,Med-Vantage Sdn Bhd,26,0,1,7.8
Sphygmomanometers,Medtronic,10,1,2,22.3
Radiographic System,Welch Allyn Inc,5,0,2,28.4
Defibrillator,Welch Allyn Inc,1,0,2,37.4
Physiologic Monitoring System,B. Braun Melsungen AG,10,1,1,27.7
Defibrillator,Siemens Healthineers,18,2,2,2.0
Infusion Pump,Med-Vantage Sdn Bhd,5,1,2,27.6
Ventilator,Medtronic,13,0,2,27.6
Sphygmomanometers,Med-Vantage Sdn Bhd,19,1,1,17.1
Radiographic System,Physio-Control Inc,5,0,1,39.1
Radiographic System,Drager Medical AG & Co KGaA,16,0,1,23.3
Ventilator,Canon Inc (Toshiba Medical),9,0,1,40.2
Sphygmomanometers,Baxter Healthcare Corp,27,2,2,2.0
Ventilator,Nihon Kohden Corp,0,0,1,43.2
Infusion Pump,Koninklijke Philips N.V.,2,0,1,50.0
Defibrillator,Blease Medical Equipment Ltd,7,0,1,36.0
Radiographic System,Blease Medical Equipment Ltd,7,2,1,11.3
Infusion Pump,Drager Medical AG & Co KGaA,26,1,1,4.5
Defibrillator,Physio-Control Inc,19,0,2,19.5
Infusion Pump,Omron Healthcare Co Ltd,21,1,2,3.4
Sphygmomanometers,Siemens Healthineers,14,1,1,24.7
Radiographic System,Blease Medical Equipment Ltd,23,1,1,2.8
Ventilator,Physio-Control Inc,6,0,1,37.5
Ventilator,Blease Medical Equipment Ltd,10,2,1,7.4
Defibrillator,Omron Healthcare Co Ltd,6,0,2,37.2
Physiologic Monitoring System,Med-Vantage Sdn Bhd,28,1,2,2.0
Sphygmomanometers,B. Braun Melsungen AG,3,0,2,46.4
Defibrillator,Medtronic,24,0,2,7.8
Physiologic Monitoring System,Baxter Healthcare Corp,11,0,1,39.6
Infusion Pump,Datex-Ohmeda Inc,25,1,2,2.0
Sphygmomanometers,B. Braun Melsungen AG,5,0,2,37.3
Infusion Pump,Drager Medical AG & Co KGaA,13,1,2,18.6
Radiographic System,B. Braun Melsungen AG,11,0,1,29.0
Sphygmomanometers,Drager Medical AG & Co KGaA,10,1,2,25.4
Physiologic Monitoring System,Datex-Ohmeda Inc,18,2,2,2.2
Radiographic System,GE Healthcare,20,1,2,2.0
Ventilator,Omron Healthcare Co Ltd,4,1,1,27.7
Physiologic Monitoring System,Baxter Healthcare Corp,13,1,2,17.5
Defibrillator,Med-Vantage Sdn Bhd,20,0,2,13.1
Ventilator,Nihon Kohden Corp,23,2,2,2.0
Ventilator,Nihon Kohden Corp,15,0,2,25.4
Defibrillator,Omron Healthcare Co Ltd,24,1,2,2.0
Sphygmomanometers,Koninklijke Philips N.V.,12,1,1,26.5
Ventilator,Med-Vantage Sdn Bhd,24,0,2,11.9
Physiologic Monitoring System,Blease Medical Equipment Ltd,28,0,1,11.7
Radiographic System,Physio-Control Inc,21,1,2,2.0
Ventilator,GE Healthcare,21,2,1,2.0
Physiologic Monitoring System,Omron Healthcare Co Ltd,24,2,1,2.0
Infusion Pump,Nihon Kohden Corp,19,1,2,8.7
Physiologic Monitoring System,B. Braun Melsungen AG,21,1,2,8.7
Radiographic System,Physio-Control Inc,3,2,2,7.6
Physiologic Monitoring System,GE Healthcare,10,0,2,32.7
Defibrillator,Medtronic,16,0,2,22.9
Radiographic System,Medtronic,6,1,1,22.4
Sphygmomanometers,Med-Vantage Sdn Bhd,13,2,1,15.0
Infusion Pump,Physio-Control Inc,25,2,1,2.0
Defibrillator,Omron Healthcare Co Ltd,10,0,1,32.9
Sphygmomanometers,Drager Medical AG & Co KGaA,27,0,1,19.1
Physiologic Monitoring System,Drager Medical AG & Co KGaA,21,0,2,19.7
Radiographic System,B. Braun Melsungen AG,8,0,2,28.0
Infusion Pump,GE Healthcare,22,0,1,24.2
Defibrillator,GE Healthcare,12,1,1,18.0
Sphygmomanometers,Med-Vantage Sdn Bhd,22,0,2,20.0
Sphygmomanometers,Physio-Control Inc,17,2,1,10.2
Infusion Pump,Siemens Healthineers,27,0,1,14.8
Physiologic Monitoring System,Medtronic,10,1,2,20.1
Infusion Pump,GE Healthcare,14,0,2,21.6
Sphygmomanometers,Physio-Control Inc,24,0,1,21.2
Ventilator,Med-Vantage Sdn Bhd,25,0,2,5.4
Defibrillator,Datex-Ohmeda Inc,24,2,1,2.0
Infusion Pump,Koninklijke Philips N.V.,21,2,2,2.0
Sphygmomanometers,Datex-Ohmeda Inc,28,1,1,8.6
Physiologic Monitoring System,Med-Vantage Sdn Bhd,18,0,1,26.7
Sphygmomanometers,Baxter Healthcare Corp,0,2,2,23.2
Physiologic Monitoring System,Omron Healthcare Co Ltd,3,0,1,48.5
Infusion Pump,B. Braun Melsungen AG,13,0,2,26.3
Physiologic Monitoring System,GE Healthcare,13,1,1,26.5
Radiographic System,Med-Vantage Sdn Bhd,2,2,1,18.4
Radiographic System,Baxter Healthcare Corp,29,0,1,3.4
Radiographic System,Nihon Kohden Corp,27,0,1,11.4
Ventilator,Baxter Healthcare Corp,16,2,2,2.0
Infusion Pump,Canon Inc (Toshiba Medical),2,0,1,45.5
Sphygmomanometers,Blease Medical Equipment Ltd,15,0,2,27.6
Sphygmomanometers,Physio-Control Inc,13,1,2,19.1
Ventilator,GE Healthcare,29,2,2,2.0
Physiologic Monitoring System,Koninklijke Philips N.V.,19,1,1,12.8
Ventilator,Omron Healthcare Co Ltd,28,2,2,2.0
Physiologic Monitoring System,Physio-Control Inc,12,1,1,25.2
Physiologic Monitoring System,Canon Inc (Toshiba Medical),14,0,1,34.0
Defibrillator,Physio-Control Inc,13,2,1,4.7
Sphygmomanometers,Canon Inc (Toshiba Medical),23,0,1,23.9
Radiographic System,B. Braun Melsungen AG,24,0,1,9.5
Physiologic Monitoring System,B. Braun Melsungen AG,18,1,2,12.6
Defibrillator,Medtronic,5,0,1,41.9
Sphygmomanometers,Medtronic,9,0,1,41.8
Radiographic System,Drager Medical AG & Co KGaA,26,0,2,2.4
Physiologic Monitoring System,Siemens Healthineers,14,0,1,37.7
Physiologic Monitoring System,GE Healthcare,20,2,1,2.0
Ventilator,Med-Vantage Sdn Bhd,21,1,1,6.2
Ventilator,GE Healthcare,19,2,2,2.0
Sphygmomanometers,Welch Allyn Inc,25,0,1,19.5
Radiographic System,Med-Vantage Sdn Bhd,5,0,1,41.2
Physiologic Monitoring System,Canon Inc (Toshiba Medical),22,0,1,22.4
Sphygmomanometers,Baxter Healthcare Corp,24,0,2,20.9
Sphygmomanometers,GE Healthcare,9,0,2,41.9
Infusion Pump,GE Healthcare,6,1,2,25.9
Ventilator,Siemens Healthineers,21,2,1,2.0
Radiographic System,Nihon Kohden Corp,16,2,1,2.0
Physiologic Monitoring System,Med-Vantage Sdn Bhd,17,0,1,29.8
Sphygmomanometers,Medtronic,16,2,1,9.8
Physiologic Monitoring System,Medtronic,8,0,1,40.1
Infusion Pump,Koninklijke Philips N.V.,9,0,1,39.6
Radiographic System,GE Healthcare,9,2,1,8.4
Sphygmomanometers,Siemens Healthineers,24,1,2,8.8
Physiologic Monitoring System,Omron Healthcare Co Ltd,6,0,1,43.6
Ventilator,Medtronic,15,0,2,20.4
